"_id"	alpha_4	name.ar	numeric	name.bg	name.br	name.ca	name.cs	name.da	name.de	name.el	name.en	name.eo	name.es	name.et	name.fa	name.fi	name.fr	name.gl	name.he	name.hu	name.ia	name.id	name.is	name.it	name.ja	name.ko	name.lt	name.lv	name.ml	name.nb	name.nl	name.nn	name.oc	name.pl	name.pt	name.pt_BR	name.ro	name.ru	name.sk	name.sl	name.sr	name.sr@latin	name.sv	name.th	name.tr	name.uk	name.vi	name.zh_CN	name.zh_HK	name.zh_TW
Dsrt	Dsrt	الديسيريت	250		Deseret (Mormon)		Deseret (mormonské)	deseret (mormon)	Deseret (Mormonisch)		Deseret (Mormon)	Desereta (mormona)	deseret (mormón)	deseret		deseret (mormoni)	déseret (mormon)	Deseret (mormón)		Deseret (Mormon)	deseret (mormon)	Deseret (Mormon)	Deseret (Mormón)	Deseret (mormone)	デセレット文字	디저렛 문자	Deseret (mormonų)	Deseret (Mormon)		deseret	Deseret (Mormon)	deseret		deseret (mormoński)	deseret	deseret	Deseretă (Mormonă)	Дезерет		deseret (mormonska pisava)	дезеретски (мормонски)	dezeretski (mormonski)	Deseret (mormon)	เดเซอเรต (มอร์มอน)	Deseret	дезерет (мормонська)	Đe-se-rét (Moa-mon)	德塞莱特文	德瑟雷特文	德瑟雷特文
Dupl	Dupl		755				Duployého těsnopis	Duployé-stenografi	Stenografie nach Émile Duployé		Duployan shorthand, Duployan stenography	Duploja stenografio				Duployén pikakirjoitus	sténographie Duployé	Taquigrafía Duployan, Esteganografía Duployan		Duployan gyorsítás, Duployan gyorsírás	stenographia Duployé	Duployan pendek, Duployan stenografi	Duploy hraðskrift, Duploy steinskrift	Stenografia duployan, scrittura veloce duployan				Duplo īsinājums, Duplo stenogrāfija			Duployan stenografie			stenografia Duploye'a			Duploiană abreviată, Duploiană stenografie	Дуплоянская скоропись, Дуплоянская стенография			дуплојске скраћенице, дуплојски брзопис	duplojske skraćenice, duplojski brzopis	Duployan-stenografi	ชวเลขดูพลอยัน		скоропис Дюплоє, стенографія Дюплоє				杜洛耶速記
Egyd	Egyd	الديموطيقية	070		Ejipteg demotek	egipci demòtic	Egyptské démotické	ægyptisk demotisk	Ägyptisch (Demotisch)	Αιγυπτιακό Λαϊκό	Egyptian demotic	Egipta demotika	egipcio demótico	egiptuse demootiline		egyptiläinen demoottinen	démotique égyptien	Exipcio demótico		Egyiptomi demotikus	egyptiano demotic	Mesir demotic	Egypsk demótísk hraðskrift	Egiziano demotico	エジプト民衆文字		Egiptiečių demotinis	Ēģiptiešu demotiskais raksts		egyptisk demotisk	Egyptisch demotisch	egyptisk demotisk		egipski demotyczny	demótico egípcio	demótico egípcio	Demotică egipteană	Египетская демотическая	egyptské demotické	egipčanska demotska pisava	египатски демотски	egipatski demotski	Egyptisk demotisk skrift	ดีโมติกอียิปต์	Mısır Yazısı - Demotik	єгипетська демотична	Ai Cập thông dụng	后期埃及语	古埃及世俗體	古埃及文世俗體
Egyh	Egyh	الهيراطيقية	060		Ejipteg Hieratik	egipci hieràtic	Egyptské hieratické	egyptisk hieratisk	Ägyptisch (Hieratisch)	Αιγυπτιακό Ιερατικό	Egyptian hieratic	Egipta hieratika	egipcio hierático	egiptuse hieraatiline		egyptiläinen hieraattinen	hiératique égyptien	Exipcio hierático		Egyiptomi hieratikus	egyptiano hieratic	Mesir hieratic	Egypsk hieratísk hraðskrift	Egiziano ieratico	エジプト神官文字		Egiptiečių hieratinis	Ēģiptiešu hierātiskais raksts		egyptisk hieratisk	Egyptisch hiëratisch	egyptisk hieratisk		egipski hieratyczny	hierático egípcio	hierático egípcio	Hieratică egipteană	Египетская иератическая	egyptské hieratické	egiščanska hieratska pisava	египатски хијератски	egipatski hijeratski	Egyptisk hieratisk skrift	ไฮราติกอียิปต์	Mısır Yazısı - Hiyeratik	єгипетська ієротична	Ai Cập thầy tu	古埃及僧侣书写体	古埃及僧侶體	古埃及文僧侶體
Egyp	Egyp	الهيروغليفية	050	Египетски йероглифи	Hieroglifoù Ejipt	egipci hieroglífic	Egyptské hieroglyfy	egyptiske hieroglyffer	Ägyptische Hieroglyphen	Αιγυπτιακά Ιερογλυφικά	Egyptian hieroglyphs	Egipta hieroglifa	jeroglíficos egipcios	egiptuse hieroglüüfkiri	هیروگلیف مصری	egyptiläiset hieroglyfit	hiéroglyphes égyptiens	Xeroglifos exipcios	כתב חרטומים	Egyiptomi hieroglifák	hieroglyphico egyptian	Mesir hieroglyphs	Egypskt myndletur	Geroglifici egiziani	エジプト聖刻文字		Egipto hieroglifai	Ēģiptiešu hieroglifi		egyptiske hieroglyfer	Egyptische hiërogliefen	egyptiske hieroglyfar		hieroglify egipskie	hieróglifos egípcios	hieróglifos egípcios	Hieroglife egiptene	Египетская иероглифическая	Egyptské hieroglyfické	egipčanska hieroglifna pisava	египатски хијероглифи	egipatski hijeroglifi	Egyptiska hieroglyfer	ไฮโรกลิฟอียิปต์	Mısır Yazısı - Hiyeroglif	єгипетська ієрогліфічна	Ai Cập viết tượng hình	古埃及象形文	古埃及象形文	古埃及象形文
Elba	Elba		226				Elbasánské	elbasan	Elbasan		Elbasan	Elbasana				elbasanilainen	elbasan	Elbasan		Elbasan	elbasan	Elbasan	Elbasan	Elbasan				Elbasan			Elbasan			elbasański			Elbasană	Эльбасанская			елбански	elbanski	Elbasan	เอลบาซาน		ельбасан				艾巴申文
Ethi	Ethi	الاثيوبية	430	Етиопска	Etiopeg (Geʻez)		Etiopské (Geʻez)	etiopisk (geʻez)	Äthiopisch (Geʻez)	Αιθιοπικό	Ethiopic (Geʻez)	Etiopa	etiópico (Geʻez)	etioopia	اتیوپیایی	etiopialainen (ge'ez)	éthiopien (geʻez, guèze)	Etiópico (Geʻez)	אתיופית	Etióp (Geʻez)	ethiope (geʻez)	Ethiopia (Geʻez)	Eþíópískt (Geʻez)	Etiope (ge`ez)	エチオピア文字	에티오피아 문자	Etiopų (Geʻez)	Etiopiešu (Gēzes)		etiopisk	Ethiopisch (GeDez)	etiopisk		etiopski (gyyz)	etiópico	etiópico	Etiopiană (Geʻez)	Эфиопская	etiópske	etiopska pisava (giz)	етиопски (ге'ез)	etiopski (ge'ez)	Etiopiska (fornetiopiska)	เอธิโอเปีย (กี'อิซ)	Etiyopya	ефіопська (гізи)	Ê-ti-ô-pi (Ge'ez)	埃塞俄比亚语	衣索匹亞文	衣索比亞文 (吉茲字母)
Geok	Geok		241		Skritur Jorjieg (assomtavrouli ha nouskhouri)		Khutsuri (asomtavruli a nuskhuri)	Khutsuri (asomtavruli og nuskhuri)	Khutsuri (Asomtavruli und Nuskhuri)		Khutsuri (Asomtavruli and Nuskhuri)	Ĥucura	Khutsuri georgiano (Asomtavruli y Nuskhuri)			khutsuri (asomtavruli ja nuskhuri)	khoutsouri (assomtavrouli et nouskhouri)	Khutsuri xeorxiano (Asomtavruli y Nuskhuri)		Khutsuri (Asomtavruli és Nuskhuri)	khutsuri (asomtavruli e nuskhuri)	Khutsuri (Asomtavruli dan Nuskhuri)	Khutsuri (Asomtavruli og Nuskhuri)	Khutsuri (asomtavruli e nuskhuri)			Khutsuri (Asomtavruli ir Nuskhuri)	Kutsuri (Asomtavruli un Nuskuri)			Khutsuri (Asomtavruli en Nuskhuri)			chucuri (asomtawruli i nuschuri)			Khutsuri (Asomtavruli și Nuskhuri)	Хуцури (асомтаврули и нусхури)			куцурски (асомтаврули и нускури)	kucurski (asomtavruli i nuskuri)	Khutsuri (asomtavruli och nuskhuri)			хутсурі	Khu-t-xu-ri (Asomtavruli và Nuskhuri)			格魯吉亞文
Geor	Geor	الأبجدية الجورجية - أسومتافرلى و نسخرى	240		Jorjieg (mkhédrouli)		Gruzínské (Mkhedruli)	georgisk (mkhedruli)	Georgisch (Mkhedruli)		Georgian (Mkhedruli)	Kartvela	georgiano (Mkhedruli)	gruusia hutsuri		georgialainen (mkhedruli)	géorgien (mkhédrouli)	Xeorxiano (Mkhedruli)		Grúz (Mkhedruli)	georgiano (mkhedruli)	Georgia (Mkhedruli)	Georgíska (Mkhedruli)	Georgiano (mkhedruli)			Gruzinų (Mkhedruli)	Gruzīnu (Mhedruli)		georgisk khutsuri	Georgisch (Mkhedruli)	khutsuri (asomtavruli og nuskhuri)		gruziński (mchedruli)	khutsuri georgiano	khutsuri georgiano	Georgiană (Mkhedruli)	Грузинская хуцури		gruzinska pisava (mhedruli)	грузијски (мкедрулијски)	gruzijski (mkedrulijski)	Georgiska (mkhedruli)		Hutsuri Gürcüce	грузинська (мхедрулі)	Gi-oa-gi-a (Mkhedruli)	格鲁吉亚字母	格鲁吉亚语文字 (Asomtavruli and Nuskhuri)	喬治亞文
Glag	Glag	الجلاجوليتيك	225		Lizherenneg ar c'hlagolitek		Hlaholice	glagolitisk	Glagolitisch		Glagolitic	Glagolica	glagolítico	glagoolitsa		glagoliittinen	glagolitique	Glagolítico		Glagolit	glagolitico	Glagolitic	Glagolitískt	Glagolitico	グラゴール文字		Glagolitiškas	Glagolica		glagolittisk	Glagolitisch	glagolittisk		głagolica	glagolítico	glagolítico	Glagolitică	Глаголица	hlaholika	glagolica	глагољица	glagoljica	Glagolitiska	กลาโกลิติก	Glagolit	глаголиця	G-la-gô-li-ti	格拉哥里语	格拉哥里语	格拉哥里文
Goth	Goth	القوطية	206	Готическа	Goteg	gòtic	Gotické	gotisk	Gotisch	Γοτθικό	Gothic	Gota	gótico	gooti	گوتیک	goottilainen	gotique	Gótico	גותית	Gót	gothico	Gothic	Gotneskt	Gotico	ゴート文字	고트 문자	Gotų	Gotu		gotisk	Gothisch	gotisk	Gotic	gocki	gótico	gótico	Gotică	Готская		gotska pisava	готски	gotski	Gotiska	โกธิก	Gotik	готична	Gô-tích	哥特语	歌德文	哥德體
Gran	Gran		343				Grantha	grantha	Grantha		Grantha	Granta				granthakirjoitus	grantha	Grantha		Grantha	grantha	Grantha	Grantha	Grantha				Granta			Grantha			grantha			Grantha	Грантха			грентски	grentski	Grantha	คฤนถ์		гранта				加蘭塔文
Grek	Grek	اليونانية	200	Гръцка	Gresianeg	grec	Řecké	græsk	Griechisch	Ελληνικό	Greek	Greka	griego	kreeka	یونانی	kreikkalainen	grec	Grego	יוונית	Görög	greco	Yunani	Grískt	Greco	ギリシャ文字	그리스 문자	Graikų	Grieķu	ഗ്രീക്ക്	gresk	Grieks	gresk	Grèc	grecki	grego	grego	Greacă	Греческая	grécke	grška pisava	грчки	grčki	Grekiska	กรีก	Yunan	грецька	Hy Lạp	希腊语	希臘文	希臘文
Gujr	Gujr	التاغجراتية	320	Гуджарати	Goudjarateg		Gudžarátí	gujarati	Gujarati	Γκουγιαράτι	Gujarati	Guĝarata	gujarati	gudžarati	گجراتی	gudžaratilainen	goudjarâtî (gujrâtî)	Guxarati		Gudzsaráti	gujarati	Gujarati	Gujaratískt	Gujarati	グジャラート文字	구쟈라티 문자	Gudžaratų	Gudžaratu	ഗുജറാത്തി	gujarati	Gujarati	gujarati	Gujarati	gudźarati	gujerati	gujerati	Gujarati	Гуджарати		gudžaratska pisava	гујаратски	gujaratski	Gujarati	คุชราตี	Gujarati	гуджараті	Gu-gia-ra-ti	古吉拉特语	古吉拉特语	古吉拉特文
Guru	Guru	الجرمخى	310		Gurmukhī		Gurmukhí	gurmukhi	Gurmukhi		Gurmukhi	Gurmuka	gurmuji	gurmukhi		gurmukhi	gourmoukhî	Gurmukhi		Gurmuki	gurmukhi	Gurmukhi	Gurmukískt	Gurmukhi	グルムキー文字	구르무키 문자	Gurmukhi	Gurmuku	ഗുരുമുഖി	gurmukhi	Gurmukhi	gurmukhi	Gurmukhi	gurmukhi	gurmuqui	gurmuqui	Gurmukhi	Гурмукхи		gurmuki	гурмушки	gurmuški	Gurmukhi	คุรุมุขี	Gurmukhi	гурмукі	Gổ-mu-khi	果鲁穆奇语	古爾穆奇文	果魯穆其文
Hanb	Hanb		503					han med bopomofo (alias for han + bopomofo)	Han mit Bopomofo (Alias für Han + Bopomofo)		Han with Bopomofo (alias for Han + Bopomofo)						han avec bopomofo (alias pour han + bopomofo)																	chińskie z bopomofo (chińskie + bopomofo)				Хан с Бопомофо (псевдоним для Хан + Бопомофо)					Han med Bopomofo (alias för Han + Bopomofo)			хань з бопомофо (назва для поєднання хань + бопомофо)				
Hang	Hang		286		Hangeul		Hangul (hangŭl)	hangul (hangŭl, hangeul)	Hangul (Hangŭl, Hangeul)		Hangul (Hangŭl, Hangeul)	Hangula	Hangul (Hangŭl, Hangeul)			hangul	hangûl (hangŭl, hangeul)	Hangul (Hangŭl, Hangeul)		Hangul (Hangŭl, Hangeul)	hangul	Hangul (Hangŭl, Hangeul)	Hangul (Hangŭl, Hangeul)	Hangul (hangŭl, hangeul)			Hangul (Hangŭl, Hangeul)	Hangul (Hangŭl, Hangeul)			Hangul (Hangŭl, Hangeul)			hangyl			Hangul (Hangŭl, Hangeul)	Хангыль	hangul (hangül)	hangul	хангулски (хангил, хангеул)	hangulski (hangil, hangeul)	Hangul (hangŭl, hangeul)	ฮันกึล		хангиль	Hangul (Hangŭl, Hangeul)	諺文		韓國-諺文
